name,title
Leonard Adleman,Demonstrated DNA computing model in theoretical computer science
Leonardo Fibonacci,Introduced Fibonacci sequence in number theory
Leonardo da Vinci,Applied geometric reasoning in engineering design
Leonhard Euler,Founded graph theory and analytical mechanics in mathematics
Leonid Kantorovich,Developed linear programming optimization in operations research
Liu Hui,Improved approximation of pi in geometry
Lloyd Shapley,Developed stable matching theory in game theory
Lorenzo Mascheroni,Investigated construction with compass only in geometry
Louis Bachelier,Modeled financial markets using stochastic processes in probability
Luca Pacioli,Formalized double-entry bookkeeping in accounting mathematics
M. C. Escher,Explored impossible geometry in mathematical art
Madhava of Sangamagrama,Derived infinite series for trigonometric functions in calculus
Mae Carol Jemison,Applied orbital science in space exploration
Majapahit,Developed astronomical calendrical systems in historical mathematics
Maria Gaetana Agnesi,Analyzed cubic curve known as Agnesi’s witch in calculus
Marie-Sophie Germain,Advanced elasticity theory in number theory
Marilyn vos Savant,Solved advanced logical reasoning problems in recreational mathematics
Marin Mersenne,Studied Mersenne primes in number theory
Marjorie Lee Brown,Advanced mathematics education for underrepresented students in algebra
Martin Gardner,Popularized recreational mathematics puzzles in combinatorics
Martin Hellman,Co-developed Diffie–Hellman key exchange in cryptography
Marvin Minsky,Advanced artificial intelligence theory in cognitive science
Mary Cartwright,Analyzed nonlinear differential equations in chaos theory
Mary Jackson,Advanced aerodynamics calculations in engineering mathematics
Maryam Mirzakhani,Advanced geometry of moduli spaces in topology
Maryna Viazovska,Solved sphere packing problem in 8 dimensions in discrete geometry
Mesopotamia,Invented positional number system in arithmetic
Michael Faraday,Established electromagnetic induction laws in physics
Mikhael Gromov,Advanced metric geometry in geometric analysis
Muhammad ibn Musa Al-Khwarizmi,Founded systematic algebra in equation solving
Myron Scholes,Formulated Black–Scholes model in financial mathematics
Nasir al-Din al-Tusi,Advanced trigonometry as independent mathematical discipline in astronomy
Nenad Trinajstić,Founded chemical graph theory in mathematical chemistry
Ngô Bảo Châu,Proved fundamental lemma in Langlands program in number theory
Niccolò Tartaglia,Solved cubic equations in algebra
Nicolaus Copernicus,Proposed heliocentric model in astronomy
Nicole Oresme,Introduced graphical representation of motion in early calculus
Nicomachus,Classified properties of numbers in arithmetic theory
Niels Abel,Proved impossibility of general quintic solution in algebra
Nikolaĭ Lobachevskiĭ,Developed non-Euclidean geometry in hyperbolic space
Norbert Wiener,Founded cybernetics in systems theory
Norte Chico Civilization,Developed early irrigation-based mathematical systems in engineering
Omar Khayyam,Solved cubic equations using geometric methods in algebra
Oskar Morgenstern,Co-founded game theory in economics
Pafnuty Chebyshev,Advanced bounds on prime distribution in number theory
Paul Cohen,Developed forcing method in set theory
Paul Dirac,Formulated Dirac equation in quantum mechanics
Paul Erdős,Advanced combinatorics and extremal graph theory in discrete mathematics
Pedro Nunes,Developed navigation mathematics in spherical geometry
Pierre Deligne,Proved Weil conjectures in algebraic geometry
Pierre de Fermat,Formulated Fermat’s last theorem in number theory
Pierre-Simon Laplace,Developed Laplace transform in mathematical physics
Pingala,Introduced binary number concepts in combinatorics
Polynesian Navigators,Developed star-based ocean navigation in applied astronomy
Ptolemy,Formulated geocentric model in astronomy
Pythagoras,Established Pythagorean theorem in geometry
Pāṇini,Formalized grammatical rules using algebraic structure in linguistics
Qin Jiushao,Applied Chinese remainder theorem in number theory
Regiomontanus,Advanced trigonometric methods in astronomy
Reinhard Selten,Developed subgame perfect equilibrium in game theory
René Descartes,Introduced Cartesian coordinate geometry in analytic geometry
Richard Borcherds,Developed vertex algebras in algebraic geometry
Richard Dedekind,Defined real numbers using Dedekind cuts in analysis
Robert Langlands,Formulated Langlands program in number theory
Robert Cox Merton,Advanced financial derivatives pricing in stochastic calculus
Ron Rivest,Co-invented RSA cryptosystem in cryptography
Ronald Fisher,Founded statistical inference methods in biostatistics
Seki Takakazu,Developed determinant methods in Japanese algebra
Shafi Goldwasser,Co-developed zero-knowledge proofs in cryptography
Shen Kuo,Advanced astronomical and mathematical observations in natural science
Shiing-Shen Chern,Developed characteristic classes in differential geometry
Shing-Tung Yau,Proved Calabi–Yau manifold existence in geometry
Simon Stevin,Introduced decimal fractions in arithmetic
Sofia Kovalevskaya,Solved partial differential equations in analysis
Sophus Lie,Developed Lie group theory in continuous symmetry
Srinivasa Ramanujan,Discovered highly complex infinite series in number theory
Stanislaw Ulam,Developed Monte Carlo method in probability theory
Stefan Banach,Founded functional analysis in infinite-dimensional spaces
Stephen Hawking,Proposed Hawking radiation in black hole physics
Stephen Smale,Proved Smale conjecture in topology
Stepped Reckoner,Built early mechanical calculator in computational devices
Talithia Williams,Advanced statistical communication in applied data science
Terence Tao,Advanced harmonic analysis and additive combinatorics in number theory
Thābit ibn Qurra,Generalized Pythagorean theorem in geometry
Thales of Miletus,Introduced deductive geometric proofs in early geometry
The Bourbaki Group,Formalized abstract structural mathematics in modern algebra
The Sankore Scholars,Advanced Islamic mathematical astronomy in medieval science
Thomas Bayes,Formulated Bayes’ theorem in probability theory
Tupaia,Applied Polynesian astronomical navigation in ocean travel
Vito Volterra,Developed functional equations in mathematical biology
Vladimir Arnold,Advanced dynamical systems theory in chaos theory
Vladimir Vapnik,Developed support vector machines in machine learning
Wang Zhenyi,Explained astronomical eclipse phenomena in astronomy
William Rowan Hamilton,Invented quaternions in algebra
William Thurston,Developed geometrization of 3-manifolds in topology
Whitfield Diffie,Co-invented public-key cryptography in information security
Yang Hui,Advanced Pascal triangle methods in combinatorics
Yann LeCun,Developed convolutional neural networks in deep learning
Yitang Zhang,Proved bounded gaps between primes in number theory
Yoshua Bengio,Advanced deep learning architectures in artificial intelligence
Yuri Matiyasevich,Proved Hilbert’s tenth problem undecidable in logic
Zu Chongzhi,Computed highly accurate value of pi in numerical mathematics
Émilie du Châtelet,Translated Newton’s Principia in classical mechanics
Évariste Galois,Founded group theory in algebra
